Product_code,Brand_name,Colour,Price_current_value,Price_currency,Image_url,Url
1526234,ASOS Tall,Blanc,16.99,EUR,images.asos-media.com/products/asos-design-tall-top-col-roule-a-manches-longues-blanc/12954697-1-white,asos-tall/asos-design-tall-top-col-roule-a-manches-longues-blanc/prd/12954697?clr=blanc&colourWayId=16452949
1526246,ASOS Curve,Noir,16.99,EUR,images.asos-media.com/products/asos-design-curve-top-col-roule-a-manches-longues-noir/12954693-1-black,asos-curve/asos-design-curve-top-col-roule-a-manches-longues-noir/prd/12954693?clr=noir&colourWayId=16459959
1526214,ASOS Tall,Noir,16.99,EUR,images.asos-media.com/products/asos-design-tall-top-col-roule-a-manches-longues-noir/12954688-1-black,asos-tall/asos-design-tall-top-col-roule-a-manches-longues-noir/prd/12954688?clr=noir&colourWayId=16452948
1524068,Converse,Noir,100.0,EUR,images.asos-media.com/products/converse-zig-zag-chuck-70-voltage-baskets-basses-en-cuir-noir/12920066-1-black,converse/converse-zig-zag-chuck-70-voltage-baskets-basses-en-cuir-noir/prd/12920066?clr=noir&colourWayId=16441280
1524065,Converse,Blanc,110.0,EUR,images.asos-media.com/products/converse-chuck-70-voltage-baskets-montantes-en-cuir-blanc/12920039-1-white,converse/converse-chuck-70-voltage-baskets-montantes-en-cuir-blanc/prd/12920039?clr=blanc&colourWayId=16448172
1524055,Converse,Noir,85.0,EUR,images.asos-media.com/products/converse-chuck-taylor-all-star-baskets-montantes-en-cuir-noir/12920020-1-black,converse/converse-chuck-taylor-all-star-baskets-montantes-en-cuir-noir/prd/12920020?clr=noir&colourWayId=16448149
1523312,ASOS Tall,Blanc,19.99,EUR,images.asos-media.com/products/asos-design-tall-t-shirt-avec-manches-en-broderie-anglaise-blanc/12911741-1-white,asos-tall/asos-design-tall-t-shirt-avec-manches-en-broderie-anglaise-blanc/prd/12911741?clr=blanc&colourWayId=16462195
1522964,Reebok,Denim dust,30.99,EUR,images.asos-media.com/products/reebok-vector-crop-top-manches-longues-lilas/12906664-1-denimdust,reebok/reebok-vector-crop-top-manches-longues-lilas/prd/12906664?clr=denim-dust&colourWayId=16428598
1521696,ASOS DESIGN,Carreaux,84.99,EUR,images.asos-media.com/products/asos-design-blazer-de-costume-pied-de-poule-rose/12889018-1-check,asos-design/asos-design-blazer-de-costume-pied-de-poule-rose/prd/12889018?clr=carreaux&colourWayId=16467358
1521699,ASOS DESIGN,Carreaux,43.99,EUR,images.asos-media.com/products/asos-design-short-de-costume-slim-pied-de-poule-rose/12889016-1-check,asos-design/asos-design-short-de-costume-slim-pied-de-poule-rose/prd/12889016?clr=carreaux&colourWayId=16467158
1520126,Cleobella,Floral ditzy,175.99,EUR,images.asos-media.com/products/cleobella-deliah-robe-courte-a-pois/12875366-1-floralditzy,cleobella/cleobella-deliah-robe-courte-a-pois/prd/12875366?clr=floral-ditzy&colourWayId=16456469
1519920,ASOS Tall,Beige,16.99,EUR,images.asos-media.com/products/asos-design-tall-t-shirt-crop-top-oversize-a-ourlet-asymetrique-avec-surpiqures-contrastantes-beige/12865954-1-beige,asos-tall/asos-design-tall-t-shirt-crop-top-oversize-a-ourlet-asymetrique-avec-surpiqures-contrastantes-beige/prd/12865954?clr=beige&colourWayId=16444862
1519848,TYPO,Multi,9.99,EUR,images.asos-media.com/products/typo-anneau-pour-portable-et-protection-pour-cable-motif-panda/12865325-1-multi,typo/typo-anneau-pour-portable-et-protection-pour-cable-motif-panda/prd/12865325?clr=multi&colourWayId=16435751
1517706,ASOS Maternity,Bleu,48.99,EUR,images.asos-media.com/products/asos-design-maternity-robe-mi-longue-bardot-plissee-nouee-a-la-taille/12861764-1-blue,asos-maternity/asos-design-maternity-robe-mi-longue-bardot-plissee-nouee-a-la-taille/prd/12861764?clr=bleu&colourWayId=16460903
1516479,ASOS DESIGN,Fauve,19.99,EUR,images.asos-media.com/products/asos-design-sweat-shirt-en-coton-biologique-fauve/12821457-1-fawn,asos-design/asos-design-sweat-shirt-en-coton-biologique-fauve/prd/12821457?clr=fauve&colourWayId=16452205
1514947,ASOS DESIGN,Noir,11.49,EUR,images.asos-media.com/products/asos-design-bandeau-plisse-a-trois-rangs-noir/12808823-1-black,asos-design/asos-design-bandeau-plisse-a-trois-rangs-noir/prd/12808823?clr=noir&colourWayId=16476741
1515292,ASOS DESIGN,Blush,25.99,EUR,images.asos-media.com/products/asos-design-mix-match-pantalon-de-costume-cigarette-ajuste-habille/12804458-1-blush,asos-design/asos-design-mix-match-pantalon-de-costume-cigarette-ajuste-habille/prd/12804458?clr=blush&colourWayId=16467481
